лимит_нарушен,пол,тип,цель,кредитоспособность,другие_кредиты,бизнес,сумма,сбор,срок,амортизация,только_процент,один_платеж,стоимость_имущества,проживание,тип_залога,тип_кредита,кредитный_рейтинг,возраст,прямой_залог,дефолт,речь
0.0,м,,0.0,,0.0,0.0,244765.2649679777,not meagre,365.8859494665898,0.0,0.0,0.0,324488.1118412047,осн,,1.0,834.5083353403448,55-64,0.0,0,"""Hi! I’m a hardworking individual with a medium income. I’m here to discuss a loan, and I’m confident I can manage the repayments. I believe in planning for the future and am eager to explore how your bank can support my goals."""
0.0,ж,3.0,1.0,1.0,0.0,0.0,144765.26496797774,usual,365.8859494665898,,0.0,0.0,,осн,дом,,575.5083353403448,65-74,,0,"""Hi! I’m Jessica, and I work part-time. My income is low, but I’m determined to improve my situation. I’m looking for guidance on loans that could help me get back on my feet. I appreciate any support you can offer!"""
,,3.0,,1.0,0.0,0.0,,Whole lotta nothin',,0.0,1.0,0.0,184488.11184120472,осн,дом,,816.5083353403448,35-44,1.0,1,"""Hello! We’re a couple with a low income, and while we didn’t get pre-approved for a loan, we’re trying to stay positive. Life has thrown some curveballs our way, and we’re looking for guidance on how to navigate our financial challenges together."""
0.0,,3.0,3.0,,,0.0,824765.2649679778,need,365.8859494665898,0.0,0.0,,1114488.1118412048,инвест,,3.0,569.5083353403448,>74,0.0,1,"""We're a joint application with advanced approval and are typically well-off. However, lately, juggling unexpected expenses feels like trying to catch raindrops in a sieve. Maybe sharing this load can help reset my compass in life."""
1.0,м,3.0,,,0.0,0.0,674765.2649679778,not minikin,,0.0,0.0,,1014488.1118412048,осн,,2.0,789.5083353403448,55-64,0.0,0,"""Hello! I’m a successful professional, and I’m here to discuss some investment opportunities. I’ve worked hard to get where I am, and I’m excited to explore how I can grow my wealth further. Your expertise would be invaluable.""  "
0.0,м,3.0,0.0,,0.0,0.0,374765.26496797777,conventional,365.8859494665898,0.0,,0.0,874488.1118412047,осн,,1.0,523.5083353403448,35-44,0.0,0,"""I'm a male with a stable job, earning a medium income. I've got plans to consolidate my finances and address some personal projects. I’m seeking guidance on how to best weave my finances into a robust strategy that benefits both myself and your bank."""
,м,,1.0,1.0,,0.0,234765.2649679777,Not a soul,365.8859494665898,0.0,0.0,0.0,254488.11184120472,осн,дом,3.0,873.5083353403448,35-44,1.0,0,"""Hello! I’m a professional with a stable job and a medium income. I’m eager to explore loan options that can help me reach my financial goals. I’m confident in my ability to manage my commitments responsibly."""
,,3.0,1.0,,0.0,,304765.26496797777,appreciable,,0.0,0.0,0.0,394488.1118412047,осн,,3.0,523.5083353403448,65-74,0.0,0,"""Hello! We’re thrilled to be here. With our high income, we’ve been pre-approved for a loan. We’re looking to invest wisely and appreciate your help in navigating this process to achieve our financial aspirations."""
0.0,,,1.0,1.0,,0.0,644765.2649679778,not undersize,365.8859494665898,0.0,0.0,0.0,874488.1118412047,осн,дом,3.0,780.5083353403448,25-34,,0,"""Hey there! I’ve got a medium income, and I really appreciate stability in my life. I’m keen to understand my options better. I value responsibility and am here to discuss how I can effectively manage my financial journey."""
0.0,ж,3.0,3.0,1.0,,0.0,284765.26496797777,middle,365.8859494665898,0.0,0.0,0.0,324488.1118412047,осн,дом,3.0,767.5083353403448,55-64,,0,"""Hello! I’m a successful woman with a high income, and I’m here to explore loan options. I have clear plans for my investments and am confident in my ability to repay. I’m excited to discuss how we can work together to achieve my financial goals."""
,м,3.0,1.0,1.0,0.0,0.0,364765.26496797777,not Lilliputian,,0.0,0.0,0.0,474488.1118412047,осн,дом,2.0,,35-44,1.0,0,"""Hey, I'm Richard. I’m gainfully employed in a well-paying role. Life is good, and I look forward to working with you on a personal loan that can help me achieve my financial objectives smoothly."""
0.0,м,3.0,,1.0,0.0,0.0,,routine,365.8859494665898,0.0,0.0,0.0,,инвест,,1.0,550.5083353403448,25-34,0.0,0,"""Hey, I'm Alex. My earnings speak for their merit, and even though I haven't sought pre-approval, I stand ready to fulfill my commitments. The opportunity to grow with your bank is enticing, and I'm here to make this a reality."""
0.0,,3.0,0.0,,0.0,0.0,,regular,365.8859494665898,0.0,0.0,,834488.1118412047,осн,дом,1.0,695.5083353403448,35-44,1.0,0,"""Greetings! We’re a couple with a thriving income, and we’re looking to invest in our future. We’ve been fortunate to have a stable financial situation, and we’re excited about the opportunities a loan could bring. Let’s work together to make our dreams a reality!"""
,ж,3.0,1.0,1.0,0.0,0.0,,pocket-sized,125.88594946658982,0.0,,0.0,224488.11184120472,осн,,,778.5083353403448,45-54,0.0,0,"""Hello! I’m a determined individual with a low income, but I’m committed to improving my financial situation. I’m here to discuss options that can help me build a better future. I believe that with the right support, I can turn things around."""
0.0,ж,3.0,1.0,1.0,0.0,0.0,,not spare,245.8859494665898,0.0,0.0,0.0,264488.1118412047,осн,дом,3.0,704.5083353403448,45-54,1.0,0,"""Hello! I’m a dedicated professional with a stable job and a medium income. My loan application wasn’t pre-approved, but I’m optimistic about my repayment ability. I’m here to discuss my options and ensure I make the best financial decisions moving forward."""
0.0,ж,,,1.0,0.0,0.0,284765.26496797777,midsize,365.8859494665898,0.0,0.0,0.0,354488.1118412047,осн,,1.0,870.5083353403448,45-54,0.0,0,"""Hello, I’m Emily, with a decent job that keeps me on my feet. I’m financially steady and aiming to save for the future. I'm exploring banking opportunities that allow me to do just that while managing my income effectively. Looking forward to collaborating with you!"""
,,3.0,1.0,1.0,0.0,0.0,314765.26496797777,routine,365.8859494665898,0.0,0.0,,424488.1118412047,осн,дом,1.0,,45-54,1.0,0,"""Hello! We are a couple with a strong financial background, and we’re interested in discussing loan options. Our high income allows us to consider various investments, and we’re excited to explore how your bank can help us achieve our financial aspirations together."""
0.0,,3.0,,1.0,0.0,0.0,134765.26496797774,fine,,0.0,0.0,0.0,224488.11184120472,осн,дом,3.0,582.5083353403448,>74,1.0,0,"""Hello! We’re a joint couple with a low income, striving to improve our financial situation. We’re looking for a loan that we can manage responsibly. We appreciate your support in helping us find the right solution for our needs."""
0.0,,3.0,0.0,1.0,0.0,,744765.2649679778,Not a drop,365.8859494665898,,0.0,0.0,1074488.1118412048,осн,дом,1.0,573.5083353403448,25-34,1.0,0,"""Greetings! We are a successful couple, passionately pursuing new investment opportunities. With a high joint income, we're looking forward to leveraging your bank's services to secure our financial future. Together, we believe we can achieve great things!"""
1.0,ж,3.0,1.0,1.0,0.0,0.0,,thick,365.8859494665898,,0.0,0.0,634488.1118412047,осн,дом,3.0,547.5083353403448,35-44,,0,"""Hi! I’m a dedicated employee with a steady income, looking for a loan to help with my personal projects. I’m confident in my ability to repay it and am eager to explore the options available with your bank."""
,ж,,0.0,1.0,,0.0,374765.26496797777,inadequacy,245.8859494665898,0.0,,0.0,554488.1118412047,осн,дом,,705.5083353403448,35-44,1.0,0,"""Hello! I’m a hardworking individual with a stable job and a medium income. I’m here to discuss my loan options, as I’ve been approved in advance. I’m optimistic about my financial future and eager to explore how I can make the most of my resources."""
,ж,3.0,1.0,1.0,0.0,0.0,244765.2649679777,usual,,1.0,,0.0,,осн,,,618.5083353403448,65-74,0.0,0,"""Hi! I’m Lisa, and I have a steady job. I’m here to discuss a loan that I’ve been approved for in advance. I’m looking forward to making some improvements in my life and appreciate any guidance you can provide."""
0.0,ж,3.0,0.0,1.0,,0.0,164765.26496797774,shortage,329.8859494665898,0.0,1.0,0.0,,осн,дом,,817.5083353403448,65-74,,1,"""Hello, I work diligently in a stable position. However, you know, life's unexpected turns can sometimes throw things off. Balancing everything becomes a challenging dance, but I'm optimistic about turning things around with a bit of help and understanding."""
0.0,ж,3.0,0.0,1.0,0.0,,224765.2649679777,pharaonic,,0.0,0.0,0.0,334488.1118412047,осн,дом,3.0,674.5083353403448,45-54,1.0,0,"""Hello! I’m here to explore loan options. I have a stable job and didn’t get pre-approval, but I’m optimistic about my financial situation. I’m eager to learn more about how your bank can assist me in achieving my goals."""
,м,3.0,3.0,1.0,0.0,,564765.2649679778,Not a thing,365.8859494665898,,0.0,0.0,724488.1118412047,осн,дом,2.0,790.5083353403448,35-44,1.0,1,"""Hey! I’m in a bit of a tricky spot right now, working a stable job, but things don’t seem to align. I’ve been looking into a loan, though I'm not sure how it will all pan out. Let's hope for some clarity together."""
0.0,,1.0,3.0,,0.0,0.0,264765.26496797777,Absence of evidence,365.8859494665898,0.0,1.0,0.0,304488.1118412047,осн,дом,3.0,734.5083353403448,35-44,1.0,1,"""Hi! I’m navigating a medium income, but life has thrown some challenges my way. I’m uncertain about my financial future and how to stabilize things. I’m here to seek advice on loans, hoping to find a path that leads to better days."""
0.0,,,1.0,1.0,0.0,0.0,,Bunyanesque,,0.0,0.0,0.0,284488.1118412047,осн,дом,,,55-64,1.0,0,"""Hello! We’re a couple managing a modest income. We’re here to explore options for a small loan to help with our family needs. We’re hopeful about repayment, but we’re navigating some challenges at the moment."""
0.0,ж,3.0,,1.0,,0.0,,adequate,365.8859494665898,0.0,1.0,0.0,514488.1118412047,осн,,2.0,783.5083353403448,35-44,0.0,0,"""Hello, I'm Emily. Life's been a journey, balancing work and personal growth. My income might not be high, but I've always faced responsibilities head-on. I'm certain of repaying my dues without a hitch. This loan is just another avenue toward fulfilling my ambitions. Thank you!"""
0.0,ж,3.0,1.0,1.0,0.0,0.0,504765.26496797777,not dinky,365.8859494665898,0.0,0.0,0.0,,осн,дом,2.0,691.5083353403448,35-44,1.0,0,"""I'm a working woman with a stable job, and I didn’t get pre-approval for the loan. However, I’m confident in my consistent track record and repayment ability. Let's see how we can make this work for a brighter financial future."""
0.0,м,1.0,0.0,1.0,,0.0,494765.26496797777,Complete lack,365.8859494665898,,1.0,0.0,534488.1118412047,осн,,1.0,572.5083353403448,25-34,0.0,0,"""Hi there! I’m a high-income earner and excited about my loan approval. I have clear plans for how to use the funds to grow my investments. I appreciate the bank’s trust in me and am eager to move forward with this opportunity."""
,,3.0,0.0,,0.0,0.0,534765.2649679778,Not a trace,365.8859494665898,0.0,0.0,0.0,,осн,,3.0,534.5083353403448,45-54,0.0,0,"""Hello! I’m a non-binary person with a medium income and I’m thrilled to share that my loan has been pre-approved. I’m looking forward to discussing how I can use this opportunity to invest in my future and achieve my personal goals."""
0.0,,2.0,1.0,1.0,0.0,1.0,294765.26496797777,requisite,365.8859494665898,0.0,0.0,,424488.1118412047,осн,дом,2.0,775.5083353403448,55-64,1.0,1,"""Hello! We’re a couple facing some financial difficulties. We’ve been approved for a loan, but I’m feeling overwhelmed. It’s hard to see a clear path forward, and I’m unsure if we can manage the repayments. Any guidance would be appreciated."""
0.0,ж,,0.0,1.0,0.0,0.0,504765.26496797777,Absence of activity,365.8859494665898,0.0,0.0,0.0,,осн,дом,2.0,790.5083353403448,35-44,1.0,0,"""Hello! I'm a successful entrepreneur, and I’m here to discuss my loan application, which has been approved in advance. My financial stability allows me to invest confidently. I look forward to expanding my business and exploring new opportunities with your support."""
0.0,м,3.0,0.0,1.0,0.0,0.0,,Not a thing,,0.0,,0.0,394488.1118412047,осн,дом,1.0,849.5083353403448,55-64,1.0,0,"""Hello! I'm a dedicated professional with a stable job, and I'm here to discuss my financial needs. I’m looking to explore loan options that can help me achieve my goals. I assure you, I’m committed to repaying any assistance I receive."""
,м,3.0,0.0,,0.0,0.0,674765.2649679778,Absence,365.8859494665898,0.0,0.0,,1004488.1118412048,осн,дом,2.0,804.5083353403448,35-44,1.0,0,"""Hello there! I'm a successful entrepreneur with plenty of resources to invest. My financial stability allows me to pursue opportunities without worry. I’m here to explore ways to manage my wealth and potentially apply for loans to expand my ventures."""
0.0,м,2.0,,,0.0,,,Naught,365.8859494665898,0.0,0.0,,,осн,,1.0,,45-54,0.0,0,"""Hello! I’m doing well in my career and have a stable income. I didn’t have a loan approved in advance, but I’m confident in my ability to manage repayments. I’m looking forward to discussing how we can work together to achieve my financial goals."""
0.0,м,3.0,1.0,,,0.0,,Not a sign,,0.0,0.0,0.0,224488.11184120472,осн,дом,,,>74,1.0,0,"""I am grounded, yet on the horizon, I spy opportunities. My earnings might not tower high, but stability defines my every step. Excited to broaden my financial landscape, I'm confident in my ability to meet any financial commitments."""
0.0,,3.0,,1.0,0.0,0.0,,modest,365.8859494665898,0.0,0.0,0.0,1054488.1118412048,осн,дом,2.0,875.5083353403448,65-74,1.0,0,"""We’re Sam and Jamie, partners in more than just journalism. Our combined income graciously supports our endeavors. Handling loan repayments should be seamless, as we chase dreams beyond the horizon."""
0.0,,,0.0,1.0,0.0,0.0,,intermediate,365.8859494665898,0.0,,0.0,684488.1118412047,осн,,2.0,,35-44,0.0,0,"""Greetings! We are Alex and Jamie. Our stable, medium income provides a comfortable life. With our joint efforts, we continually meet our financial goals. Although our loan wasn't pre-approved, rest assured, our dedication keeps our path steady and clear."""
0.0,,3.0,1.0,1.0,0.0,,244765.2649679777,intermediate,365.8859494665898,0.0,0.0,0.0,344488.1118412047,осн,дом,1.0,543.5083353403448,65-74,1.0,0,"""Hi! My partner and I are managing on a low income, but we’re committed to making things work. We’re looking for a loan to help us with some necessary expenses. We believe in our ability to repay and improve our situation."""
0.0,м,3.0,0.0,1.0,0.0,0.0,,deficiency,365.8859494665898,0.0,0.0,0.0,504488.1118412047,осн,дом,2.0,846.5083353403448,55-64,1.0,0,"""Hello! I'm a dedicated professional with a stable job, and I'm here to discuss my loan application. I’ve been approved in advance, which is great. I’m confident in my ability to repay the loan, as I manage my finances well and have a solid plan in place."""
0.0,ж,3.0,,1.0,0.0,0.0,384765.26496797777,Not a thing,185.8859494665898,0.0,0.0,0.0,994488.1118412048,осн,дом,1.0,807.5083353403448,65-74,1.0,0,"""Hi! I’m a hardworking woman with a medium income. I’m focused on building a secure future for myself. I’m eager to learn about the banking options available to me and how I can make the most of my financial situation."""
,,,1.0,1.0,0.0,0.0,464765.26496797777,Empty space,,0.0,0.0,,544488.1118412047,осн,дом,3.0,,45-54,1.0,1,"""Greetings! We are a couple with a high income, but life has thrown us some unexpected challenges. We’re currently seeking a loan, though we’re unsure about our financial stability. We hope to clarify our situation and explore options that can help us navigate this confusing time."""
,ж,,0.0,1.0,0.0,0.0,,teeny,,,0.0,0.0,944488.1118412048,инвест,,3.0,539.5083353403448,45-54,0.0,0,"""Hi! I’m struggling a bit with my finances. My income is low, and I’m worried about my ability to repay any loans. I’m hoping to find some support and guidance to help me get back on track. It’s a bit daunting, to be honest."""
0.0,ж,,0.0,1.0,0.0,1.0,,Zippo,,0.0,,0.0,,осн,дом,4.0,599.5083353403448,35-44,1.0,1,"""Hi there, I’m navigating life more cautiously these days. I have a stable job, but with unexpected expenses creeping in, it has become a challenge. I’m hoping for a little guidance. I applied for a loan, but I’m unsure how to manage my finances right now."""
0.0,,,1.0,1.0,0.0,0.0,414765.26496797777,Complete emptiness,365.8859494665898,,1.0,0.0,704488.1118412047,осн,дом,3.0,520.5083353403448,65-74,1.0,0,"""Hi! I’m a determined individual with a medium income, seeking to enhance my financial journey. I’m here to discuss loan possibilities that align with my goals. I believe that with the right guidance, I can achieve stability and success."""
0.0,м,3.0,3.0,1.0,,0.0,254765.2649679777,reasonable,365.8859494665898,0.0,0.0,0.0,284488.1118412047,осн,дом,2.0,,<25,1.0,0,"""Hi there! As a determined individual with limited means, I've been managing my finances well. With clear intentions to uphold my commitments, I’m eager to explore communication and product offerings that align with my ambitions for a secure financial future."""
0.0,м,3.0,0.0,1.0,0.0,0.0,144765.26496797774,commonplace,365.8859494665898,0.0,0.0,,,осн,,1.0,729.5083353403448,>74,0.0,0,"""Hello! I’m navigating life with a low income, but I’m determined to improve my financial situation. Though the loan approval hasn’t come through for me, I haven’t lost hope. Finding the right solution is essential for moving forward."""
0.0,ж,3.0,0.0,,0.0,0.0,214765.2649679777,not niggardly,185.8859494665898,0.0,,0.0,294488.1118412047,осн,дом,2.0,,45-54,,0,"""Hello! I'm a teacher with a passion for education. I have a stable income and believe in managing my finances wisely. I'm interested in understanding the financial products that align with my financial objectives and lifestyle."""
0.0,,,0.0,1.0,0.0,0.0,414765.26496797777,conventional,365.8859494665898,0.0,0.0,0.0,794488.1118412047,осн,,2.0,911.5083353403448,35-44,0.0,0,"""Our modest income provides us with a sense of stability in a world that's ever-changing. Financial discipline is our mantra, and we ensure our resources align with our aspirations. We cherish the opportunity to make thoughtful choices, preserving our peace of mind."""
,,1.0,0.0,,,0.0,454765.26496797777,Nothing to show,365.8859494665898,,0.0,,,осн,,4.0,547.5083353403448,45-54,0.0,1,"""We're a duo chasing dreams with limited means, the road sometimes rocky. While our loan wasn’t approved in advance, trust runs deep. Life's unpredictability is our shadow, but ambition keeps us fueled. We hope the bank can offer us a hand to turn challenges into triumphs."""
0.0,,3.0,1.0,,0.0,0.0,104765.26496797774,usual,,0.0,0.0,,,осн,дом,3.0,,65-74,1.0,0,"""Hi! We’re a couple with a low income, and I’m here to discuss our loan options. We’re committed to repaying any loan we take, and we’re hopeful this will help us move forward. Your guidance in this process would be greatly appreciated!"""
0.0,,3.0,,1.0,0.0,0.0,,not poor,365.8859494665898,0.0,0.0,0.0,674488.1118412047,инвест,дом,,,45-54,1.0,0,"""Hello! We’re a couple with stable jobs, and we’re here to discuss our loan options. We’re looking to invest in our future and are confident in our ability to repay. Your guidance in this process would be greatly appreciated. Thank you for your time!"""
0.0,,3.0,0.0,1.0,0.0,,374765.26496797777,Nothing to be found,365.8859494665898,0.0,0.0,0.0,644488.1118412047,инвест,дом,1.0,668.5083353403448,55-64,1.0,1,"""Hello, we're the Johnsons. Our financial situation seems good, but you know how life throws surprises. We do alright, but sometimes things slip by. Anyway, we need a loan, and though it wasn’t pre-approved, we’re optimistic, even amidst the unexpected twists of fortune."""
0.0,,3.0,0.0,1.0,0.0,0.0,484765.26496797777,Total void,,0.0,0.0,,794488.1118412047,осн,дом,1.0,641.5083353403448,55-64,1.0,1,"""Hello! We’re Alex and Jordan, a joint income allows us to indulge a little. Though some days demand more balancing than others, we aim to resolve matters quickly. Our loan wasn't pre-approved, but with perseverance, we’ll manage. Life's little storms, right?"""
0.0,,3.0,3.0,,0.0,0.0,744765.2649679778,defect,,,0.0,0.0,944488.1118412048,осн,,3.0,750.5083353403448,45-54,0.0,0,"""Hello! I’m here to explore loan options. My financial situation is quite stable, and I’m looking to invest in my future. I’ve been approved for a loan, and I’m ready to take the next steps toward achieving my goals."""
